#chrom	chromStart	chromEnd	name	name2	geneName	tier
# Filtering on 2 columns
chr1	65418	71585	ENST00000641515.2	uc001aal.2	OR4F5	canonical,basic,all
chr1	450739	451678	ENST00000426406.4	uc010nxu.4	OR4F29	canonical,basic,all
chr1	685715	686654	ENST00000332831.5	uc010nxv.4	OR4F16	canonical,basic,all
chr1	923922	944574	ENST00000616016.5	uc031pkk.3	SAMD11	canonical,basic,all
chr1	944202	959256	ENST00000327044.7	uc001abz.6	NOC2L	canonical,basic,all
chr1	960583	965719	ENST00000338591.8	uc001aca.4	KLHL17	canonical,basic,all
chr1	966481	975865	ENST00000379410.8	uc001acd.5	PLEKHN1	canonical,basic,all
chr1	975197	982093	ENST00000433179.4	uc057aym.2	PERM1	canonical,basic,all
chr1	998963	1000097	ENST00000304952.11	uc001aci.4	HES4	canonical,basic,all
chr1	1013496	1014540	ENST00000649529.1	uc285fxc.1	ISG15	canonical,basic,all
chr1	1020119	1056116	ENST00000379370.7	uc001ack.4	AGRN	canonical,basic,all
chr1	1070966	1074306	ENST00000453464.3	uc021oen.3	RNF223	canonical,basic,all
chr1	1081822	1116089	ENST00000421241.7	uc001acu.4	C1orf159	canonical,basic,all
chr1	1173879	1197936	ENST00000379289.6	uc001acy.3	TTLL10	canonical,basic,all
chr1	1203507	1206592	ENST00000379268.7	uc001adc.5	TNFRSF18	canonical,basic,all
chr1	1211339	1214153	ENST00000379236.4	uc001ade.5	TNFRSF4	canonical,basic,all
chr1	1216930	1232001	ENST00000360001.12	uc001adh.7	SDF4	canonical,basic,all
chr1	1232236	1235041	ENST00000379198.5	uc285fxe.2	B3GALT6	canonical,basic,all
chr1	1242452	1246722	ENST00000330388.2	uc001adl.3	C1QTNF12	canonical,basic,all
chr1	1253911	1273854	ENST00000349431.11	uc001adp.5	UBE2J2	canonical,basic,all
chr1	1280435	1292025	ENST00000379116.10	uc001adt.3	SCNN1D	canonical,basic,all
chr1	1292390	1307930	ENST00000354700.10	uc001aeb.4	ACAP3	canonical,basic,all
chr1	1308596	1311677	ENST00000379031.10	uc001aed.5	PUSL1	canonical,basic,all
chr1	1311599	1324660	ENST00000435064.6	uc001aee.4	INTS11	canonical,basic,all
chr1	1324801	1328896	ENST00000343938.9	uc001aeo.5	CPTP	canonical,basic,all
chr1	1331279	1335314	ENST00000339381.6	uc010nyk.4	TAS1R3	canonical,basic,all
chr1	1335277	1349418	ENST00000378888.10	uc002quu.5	DVL1	canonical,basic,all
chr1	1352690	1358555	ENST00000309212.11	uc001aew.6	MXRA8	canonical,basic,all
chr1	1373735	1375207	ENST00000338338.10	uc001afc.4	AURKAIP1	canonical,basic,all
